source,detector,type,ShortSeperation,cond,beta,se,tstat,dfe,p,q,power
1,1,hbo,0,aloc_sentences+bloc_words+cloc_jabsent+dloc_jabwords,-4.8069109490602,3.38956428325171,-1.41815010643456,224,0.157536624712957,0.434699062850589,0.333078424273544
1,1,hbo,0,aloc_sentences-dloc_jabwords,-2.08393048810495,1.48059131456672,-1.40749879295003,224,0.160665672719549,0.43637590121359,0.333918811048659
1,1,hbo,0,aloc_sentences-bloc_words+cloc_jabsent-dloc_jabwords,-0.136022641394345,2.22025330303919,-0.0612644697828625,224,0.951203213755717,0.981662117550197,0.810545559247421
1,1,hbo,0,aloc_sentences+bloc_words-cloc_jabsent-dloc_jabwords,-4.03183833481556,2.09428222398202,-1.92516475986198,224,0.0554751217130098,0.237897264179545,0.302349100134839
1,1,hbo,0,aloc_sentences-bloc_words-cloc_jabsent+dloc_jabwords,-3.57469929161939,2.25601755475202,-1.58451749814169,224,0.114486747053222,0.370408967460447,0.32117294290546
1,1,hbr,0,aloc_sentences+bloc_words+cloc_jabsent+dloc_jabwords,4.35498967739954,1.70093964300525,2.56034345210808,224,0.0111146301214323,0.0922724010081174,0.526024423336671
1,1,hbr,0,aloc_sentences-dloc_jabwords,0.76937450698881,0.820511695927949,0.937676465560547,224,0.349420603622787,0.643284793280445,0.384915707402906
1,1,hbr,0,aloc_sentences-bloc_words+cloc_jabsent-dloc_jabwords,1.02581155705383,1.2092918291465,0.848274611908881,224,0.397190592220299,0.696912837019587,0.399129396711733
1,1,hbr,0,aloc_sentences+bloc_words-cloc_jabsent-dloc_jabwords,0.512937456923794,1.1841178252624,0.433181095648254,224,0.665300039785127,0.850965167167022,0.506964715395964
1,1,hbr,0,aloc_sentences-bloc_words-cloc_jabsent+dloc_jabwords,0.813299292514553,1.22376617297078,0.664587165814701,224,0.506998158215988,0.763969827448749,0.436083046671695
1,2,hbo,0,aloc_sentences+bloc_words+cloc_jabsent+dloc_jabwords,-0.9498193353516,4.874751498047,-0.194844667616827,224,0.845691160019054,0.923335261559265,0.64490164682129
1,2,hbo,0,aloc_sentences-dloc_jabwords,3.09388917282066,2.50291785800808,1.23611294830223,224,0.21771121522515,0.501116013232997,0.34901221767553
1,2,hbo,0,aloc_sentences-bloc_words+cloc_jabsent-dloc_jabwords,4.04845254760993,3.54963650229727,1.14052595103466,224,0.255285206547425,0.555937558490385,0.358948804896897
