source,detector,type,ShortSeperation,cond,beta,se,tstat,dfe,p,q,power,Contrast
1,1,hbo,0,aloc_sentences+bloc_words+cloc_jabsent+dloc_jabwords,-8.05851037569631,3.4384782733384798,-2.3436269579427003,156,0.0203585970521771,0.18487807052787802,0.43845590061668,Localizer v. Not (Baseline)
1,1,hbo,0,aloc_sentences-dloc_jabwords,-1.1429160730158898,1.6436779560893797,-0.695340634569989,156,0.487876336147546,0.7994752048323579,0.42906121827695703,Federonko Contrast (Sent v. Wordlist)
1,1,hbo,0,aloc_sentences-bloc_words+cloc_jabsent-dloc_jabwords,-2.4413221176525397,2.43933381090107,-1.0008151023622,156,0.318466073232141,0.747211047498623,0.376185943779426,Syntactic (Sentence v. Non Sentence)
1,1,hbo,0,aloc_sentences+bloc_words-cloc_jabsent-dloc_jabwords,0.15548997162075798,2.2578721800435098,0.0688657103777069,156,0.945184705305457,0.9801915462426959,0.7972301441673342,Semantic (Words v. Non Words)
1,1,hbr,0,aloc_sentences+bloc_words+cloc_jabsent+dloc_jabwords,6.25929208295763,1.80195905029657,3.4736039545002204,156,0.000664827819270222,0.0203074679340722,0.83441432848107,Localizer v. Not (Baseline)
1,1,hbr,0,aloc_sentences-dloc_jabwords,2.5683107933469103,0.83281542920183,3.08388954297878,156,0.0024170428399549397,0.0513779635152907,0.720338191780921,Federonko Contrast (Sent v. Wordlist)
1,1,hbr,0,aloc_sentences-bloc_words+cloc_jabsent-dloc_jabwords,2.78261038032941,1.2772927967921899,2.17852193899293,156,0.0308682713591864,0.222933936073648,0.374607242593701,Syntactic (Sentence v. Non Sentence)
1,1,hbr,0,aloc_sentences+bloc_words-cloc_jabsent-dloc_jabwords,2.3540112063643996,1.192192437863,1.9745228468182099,156,0.0500876670016593,0.295253616009781,0.300729358749028,Semantic (Words v. Non Words)
1,2,hbo,0,aloc_sentences+bloc_words+cloc_jabsent+dloc_jabwords,-5.91564760621436,5.51470768849542,-1.07270374793488,156,0.285060656570248,0.7046769066357529,0.36702767307785794,Localizer v. Not (Baseline)
1,2,hbo,0,aloc_sentences-dloc_jabwords,4.18723689472788,2.84021727813958,1.4742663974886598,156,0.142425044241527,0.51456790177584,0.32922340803833,Federonko Contrast (Sent v. Wordlist)
1,2,hbo,0,aloc_sentences-bloc_words+cloc_jabsent-dloc_jabwords,11.821332898723199,4.0578480550394,2.9132024507527703,156,0.00410309663844058,0.0599408900224362,0.660432982949645,Syntactic (Sentence v. Non Sentence)
1,2,hbo,0,aloc_sentences+bloc_words-cloc_jabsent-dloc_jabwords,-3.4468591092673906,3.88257621146312,-0.887776291187975,156,0.37602781889089704,0.7795050376858109,0.39273228320264203,Semantic (Words v. Non Words)
1,2,hbr,0,aloc_sentences+bloc_words+cloc_jabsent+dloc_jabwords,2.95746969851943,2.16067151499365,1.36877340123037,156,0.17303788466413503,0.555525753888499,0.337421455596005,Localizer v. Not (Baseline)
1,2,hbr,0,aloc_sentences-dloc_jabwords,-0.14258274239371801,1.17028741864036,-0.121835662011449,156,0.9031859720478491,0.965037583828772,0.719793713657079,Federonko Contrast (Sent v. Wordlist)
1,2,hbr,0,aloc_sentences-bloc_words+cloc_jabsent-dloc_jabwords,3.12001237116171,1.6865578851480703,1.84992901734161,156,0.0662156060010707,0.347631931505621,0.306569281365435,Syntactic (Sentence v. Non Sentence)
1,2,hbr,0,aloc_sentences+bloc_words-cloc_jabsent-dloc_jabwords,-3.40517785594915,1.6268772744058302,-2.09307604791073,156,0.0379606181309178,0.255095353839768,0.342765335875586,Semantic (Words v. Non Words)
1,9,hbo,0,aloc_sentences+bloc_words+cloc_jabsent+dloc_jabwords,-2.9174179488401197,5.38880616497691,-0.541384837294964,156,0.589014676260669,0.8680216281736178,0.46928970262843295,Localizer v. Not (Baseline)
1,9,hbo,0,aloc_sentences-dloc_jabwords,2.04037700546387,2.64461892962714,0.771520230232769,156,0.441565723732239,0.797518881793356,0.41320331755965395,Federonko Contrast (Sent v. Wordlist)
1,9,hbo,0,aloc_sentences-bloc_words+cloc_jabsent-dloc_jabwords,1.10777411072522,3.77596921931943,0.293374772510695,156,0.769625622547162,0.953610095385023,0.5747825893243089,Syntactic (Sentence v. Non Sentence)
1,9,hbo,0,aloc_sentences+bloc_words-cloc_jabsent-dloc_jabwords,2.9729799002025197,3.62637801430232,0.819820738068999,156,0.41356912188747896,0.788383518225146,0.404208512671841,Semantic (Words v. Non Words)
1,9,hbr,0,aloc_sentences+bloc_words+cloc_jabsent+dloc_jabwords,3.4348237188474204,1.97605384857543,1.73822374391449,156,0.0841445342030656,0.39820511960887395,0.312425149672337,Localizer v. Not (Baseline)
1,9,hbr,0,aloc_sentences-dloc_jabwords,1.3430141107489,1.1103586787855602,1.209531781404,156,0.228288401825548,0.625306529880687,0.351935250352095,Federonko Contrast (Sent v. Wordlist)
1,9,hbr,0,aloc_sentences-bloc_words+cloc_jabsent-dloc_jabwords,2.65826904549672,1.5928395381854499,1.6688869040286398,156,0.0971455127161759,0.4086412142915539,0.31639908956471996,Syntactic (Sentence v. Non Sentence)
1,9,hbr,0,aloc_sentences+bloc_words-cloc_jabsent-dloc_jabwords,0.0277591760010723,1.5664742912626002,0.017720798966128003,156,0.9858842322230351,0.997403577029948,0.91653707989879,Semantic (Words v. Non Words)
2,1,hbo,0,aloc_sentences+bloc_words+cloc_jabsent+dloc_jabwords,-2.4185309650348903,3.5841600799861,-0.674783187988709,156,0.500812353985206,0.7994752048323579,0.433740080354856,Localizer v. Not (Baseline)
